"county_code","date_id","Clinton","Trump","Stein","Johnson"
12047,1015,3.45,6.03,0.12,0.00
12049,1015,3.55,6.85,0.00,0.44
12051,1015,3.64,6.32,0.25,0.38
12053,1015,5.03,9.33,0.39,0.66
12055,1015,3.42,7.57,0.23,0.52
12057,1015,4.02,7.74,0.27,0.58
12059,1015,4.26,7.17,0.58,0.19
12061,1015,4.61,8.78,0.32,0.51
12063,1015,4.49,8.03,0.21,0.81
12065,1015,3.52,5.07,0.42,0.70
12067,1015,3.66,8.23,0.00,0.91
12069,1015,3.86,8.45,0.22,0.61
12071,1015,4.41,7.96,0.21,0.56
12073,1015,4.38,7.72,0.35,0.69
12075,1015,3.44,7.17,0.24,0.63
12077,1015,2.98,8.93,0.00,0.89
12079,1015,2.64,5.59,0.00,0.23
12081,1015,4.40,8.04,0.26,0.68
12083,1015,4.68,11.70,0.22,0.63
12085,1015,4.29,8.42,0.30,0.70
12086,1015,4.13,7.76,0.22,0.38
12087,1015,3.80,8.69,0.19,0.47
12089,1015,3.89,8.92,0.34,0.60
12091,1015,4.07,7.32,0.28,0.79
12093,1015,3.09,5.65,0.54,0.29
12095,1015,3.58,7.74,0.22,0.54
12097,1015,3.89,7.18,0.22,0.54
12099,1015,4.49,9.95,0.27,0.53
12101,1015,4.92,8.41,0.39,0.67
12103,1015,4.40,8.15,0.36,0.74
12105,1015,4.13,8.84,0.24,0.57
12107,1015,3.24,5.84,0.16,0.34
12109,1015,3.60,8.22,0.25,0.55
12111,1015,4.16,8.55,0.27,0.49
12113,1015,4.43,7.29,0.29,0.98
12115,1015,4.53,8.37,0.29,0.57
12117,1015,4.06,7.76,0.28,0.62
12119,1015,5.14,10.32,0.28,0.47
12121,1015,4.07,7.84,0.08,0.34
12123,1015,2.66,4.77,0.16,0.94
12125,1015,2.02,4.12,0.09,0.35
12127,1015,3.32,6.46,0.27,0.52
12129,1015,5.25,8.13,0.24,0.47
12131,1015,5.11,10.66,0.28,0.81
12133,1015,4.73,9.18,0.17,0.50
13001,1015,3.70,8.46,0.19,0.19
13003,1015,2.26,8.72,0.00,0.16
13005,1015,1.83,7.00,0.11,0.11
13007,1015,0.00,1.37,0.00,0.00
13009,1015,3.05,5.31,0.15,0.74
13011,1015,3.48,4.61,0.30,0.53
13013,1015,3.60,7.20,0.16,0.82
13015,1015,3.52,5.33,0.14,0.54
13017,1015,3.12,4.68,0.00,0.69
13019,1015,1.40,5.45,0.14,0.14
13021,1015,3.18,6.21,0.19,0.51
13023,1015,3.19,5.68,0.00,0.50
13025,1015,2.39,3.40,0.25,0.88
13027,1015,4.23,7.94,0.26,0.00
13029,1015,2.66,6.15,0.20,0.54
13031,1015,2.93,5.87,0.17,0.71
13033,1015,3.46,5.66,0.12,0.66
13035,1015,4.13,5.73,0.19,0.58
13037,1015,2.87,2.39,0.00,1.44
13039,1015,3.44,5.70,0.18,0.81
13043,1015,0.00,5.71,0.00,0.00
13045,1015,2.90,5.92,0.32,0.87
13047,1015,4.35,7.28,0.17,0.75
13049,1015,3.30,4.13,0.00,0.17
13051,1015,2.50,5.21,0.15,0.42
13053,1015,3.82,5.69,0.24,1.06
13055,1015,3.40,6.19,0.53,0.38
13057,1015,3.96,8.56,0.30,0.90
13059,1015,4.72,8.25,0.38,0.99
13061,1015,1.87,2.80,0.00,0.00
13063,1015,2.30,5.95,0.11,0.27
13065,1015,3.23,4.19,0.00,0.00
13067,1015,3.66,7.93,0.22,0.75
13069,1015,3.46,6.37,0.05,0.35
13071,1015,2.59,6.86,0.19,0.38
13073,1015,4.14,7.41,0.17,0.91
13075,1015,1.51,4.82,0.00,0.60
13077,1015,3.09,6.87,0.21,0.66
13079,1015,3.23,6.18,0.00,0.27
13081,1015,3.92,7.63,0.11,0.33
13083,1015,4.25,6.94,0.34,0.47
13085,1015,3.61,6.99,0.16,0.69
13087,1015,3.63,4.91,0.10,0.15
13089,1015,3.66,8.00,0.23,0.59
13091,1015,3.41,6.27,0.33,0.55
13093,1015,2.26,6.64,0.13,0.40
13095,1015,3.08,6.44,0.31,0.47
13097,1015,3.39,8.45,0.24,0.41
13099,1015,1.26,3.05,0.18,0.18
13101,1015,3.99,6.83,0.13,0.64
13103,1015,2.54,3.89,0.15,0.60
13105,1015,3.44,6.43,0.18,0.45
13107,1015,1.54,4.31,0.00,0.25
