views,uploader,county_code
5,,19073
58,1,19075
10,,19075
84,1,19077
11,,19077
51,1,19079
18,,19079
174,1,19081
25,,19081
11,,19083
52,1,19083
119,1,19085
33,,19085
215,1,19087
45,,19087
45,1,19089
3,,19089
15,1,19091
3,,19091
6,1,19093
2,,19093
131,1,19095
48,,19095
12,,19097
95,1,19097
307,1,19099
58,,19099
38,,19101
255,1,19101
3723,1,19103
588,,19103
14,,19105
94,1,19105
18,1,19107
3,,19107
56,1,19109
9,,19109
134,1,19111
32,,19111
4025,1,19113
833,,19113
34,1,19115
9,,19115
20,,19117
27,1,19117
8,,19119
25,1,19119
8,,19121
42,1,19121
179,1,19123
25,,19123
84,,19125
393,1,19125
345,1,19127
73,,19127
54,1,19129
18,,19129
172,1,19131
17,,19131
5,,19133
33,1,19133
49,1,19135
9,,19135
54,1,19137
7,,19137
123,,19139
407,1,19139
89,1,19141
18,,19141
58,1,19143
8,,19143
84,1,19145
17,,19145
40,1,19147
8,,19147
120,1,19149
35,,19149
10,1,19151
6,,19151
2452,,19153
9567,1,19153
630,1,19155
230,,19155
172,1,19157
68,,19157
3,1,19159
17,,19161
38,1,19161
2806,1,19163
533,,19163
83,1,19165
18,,19165
472,1,19167
76,,19167
298,,19169
1580,1,19169
137,1,19171
26,,19171
137,1,19175
22,,19175
94,1,19177
12,,19177
64,,19179
277,1,19179
277,1,19181
37,,19181
261,1,19183
38,,19183
9,1,19185
10,,19185
487,1,19187
81,,19187
48,1,19189
8,,19189
208,1,19191
22,,19191
387,,19193
1480,1,19193
10,1,19195
1,,19195
6,,19197
55,1,19197
13,,20001
28,1,20001
13,1,20003
4,,20003
88,1,20005
38,,20005
7,1,20007
7,,20007
41,,20009
135,1,20009
27,1,20011
17,,20011
51,1,20013
21,,20013
218,1,20015
63,,20015
5,,20021
21,1,20021
10,1,20027
6,,20027
26,1,20029
3,,20029
38,1,20031
8,,20031
96,1,20035
34,,20035
75,,20037
196,1,20037
61,1,20041
16,,20041
2,,20043
1485,1,20045
393,,20045
142,,20051
251,1,20051
8,1,20053
4,,20053
82,1,20055
67,,20055
84,,20057
172,1,20057
22,,20059
40,1,20059
95,1,20061
58,,20061
18,1,20067
10,,20067
14,1,20069
4,,20069
1,1,20075
1,,20077
130,1,20079
38,,20079
35,1,20085
11,,20085
5,1,20087
4,,20087
3790,1,20091
1527,,20091
5,1,20095
34,,20099
38,1,20099
303,1,20103
125,,20103
22,1,20107
13,,20107
47,1,20109
4,,20109
183,1,20111
90,,20111
33,,20113
88,1,20113
8,,20115
12,1,20115
34,1,20117
12,,20117
69,1,20121
40,,20121
21,1,20123
8,,20123
91,,20125
194,1,20125
11,1,20127
3,,20127
4,,20131
16,1,20131
19,,20133
36,1,20133
22,1,20135
9,,20135
15,1,20137
8,,20137
13,1,20139
21,,20139
3,1,20143
2,,20143
7,1,20145
4,,20145
5,1,20147
11,,20147
43,,20149
71,1,20149
30,1,20151
13,,20151
203,1,20155
82,,20155
7,1,20157
2,,20157
14,1,20159
9,,20159
646,1,20161
230,,20161
45,1,20167
13,,20167
207,1,20169
95,,20169
22,1,20171
12,,20171
2765,1,20173
1089,,20173
66,1,20175
56,,20175
1023,1,20177
286,,20177
17,1,20181
5,,20181
2,,20183
45,1,20189
21,,20189
15,1,20191
15,,20191
24,1,20193
12,,20193
7,1,20203
6,,20205
6,1,20205
576,1,20209
351,,20209
14,,21001
31,1,21001
15,1,21003
32,,21003
57,1,21005
34,,21005
7,,21007
14,1,21007
177,1,21009
119,,21009
2,1,21011
67,1,21013
35,,21013
802,1,21015
762,,21015
48,1,21017
8,,21017
366,1,21019
267,,21019
165,1,21021
52,,21021
4,,21023
1,1,21023
5,1,21025
7,,21025
10,1,21027
1,,21027
244,1,21029
111,,21029
11,1,21031
2,,21031
29,1,21033
12,,21033
200,1,21035
51,,21035
683,1,21037
529,,21037
26,1,21041
5,,21041
45,1,21043
27,,21043
4,1,21045
4,,21045
74,,21047
219,1,21047
74,,21049
133,1,21049
94,1,21051
43,,21051
14,1,21053
8,,21053
7,1,21055
2,,21055
16,1,21057
12,,21057
437,1,21059
233,,21059
35,1,21065
15,,21065
813,,21067
2442,1,21067
11,1,21069
5,,21069
62,,21071
139,1,21071
375,1,21073
113,,21073
1,1,21075
2,,21075
11,1,21077
5,,21077
24,1,21079
1,,21079
95,1,21081
33,,21081
75,1,21083
52,,21083
17,1,21085
3,,21085
1,1,21087
40,1,21089
45,,21089
9,1,21091
3,,21091
731,1,21093
375,,21093
56,,21095
48,1,21095
23,1,21097
19,,21097
20,1,21099
10,,21099
113,1,21101
84,,21101
2,1,21103
6,,21103
60,,21107
126,1,21107
33,1,21109
30,,21109
4448,1,21111
1667,,21111
588,1,21113
287,,21113
47,1,21115
27,,21115
1218,1,21117
590,,21117
47,1,21119
33,,21119
156,1,21121
83,,21121
7,1,21123
2,,21123
311,1,21125
154,,21125
46,1,21127
26,,21127
1,,21129
50,1,21131
29,,21131
49,1,21133
39,,21133
1,,21135
14,1,21137
12,,21137
4,1,21139
4,,21139
80,1,21141
38,,21141
5,1,21143
10,,21143
195,1,21145
85,,21145
51,1,21147
19,,21147
2,,21149
4,1,21149
547,1,21151
165,,21151
55,1,21153
30,,21153
19,1,21155
8,,21155
58,1,21157
26,,21157
20,,21159
33,1,21159
64,1,21161
24,,21161
46,1,21163
27,,21163
27,1,21167
21,,21167
7,1,21169
7,,21169
8,1,21171
9,,21171
38,,21173
60,1,21173
94,1,21175
56,,21175
22,1,21177
20,,21177
120,1,21179
83,,21179
15,1,21183
3,,21183
163,1,21185
105,,21185
7,,21187
16,1,21187
15,1,21189
10,,21189
4,,21191
8,1,21191
14,,21193
23,1,21193
176,1,21195
90,,21195
6,1,21197
8,,21197
62,,21199
122,1,21199
30,1,21203
21,,21203
101,1,21205
29,,21205
38,,21207
77,1,21207
80,,21209
222,1,21209
146,1,21211
79,,21211
70,,21213
47,1,21213
26,1,21215
13,,21215
40,1,21217
26,,21217
32,1,21221
20,,21221
9,1,21223
2,,21223
16,1,21225
14,,21225
752,1,21227
291,,21227
6,1,21229
5,,21229
15,1,21231
17,,21231
147,1,21235
88,,21235
2,,21237
2,1,21237
65,1,21239
25,,21239
97,1,22001
48,,22001
17,1,22003
19,,22003
426,1,22005
324,,22005
10,1,22007
4,,22007
37,1,22009
22,,22009
126,1,22011
61,,22011
12,,22013
14,1,22013
405,1,22015
