views,uploader,county_code
50,,19041
239,1,19043
67,,19043
648,1,19045
203,,19045
116,1,19047
84,,19047
604,1,19049
162,,19049
54,1,19051
17,,19051
62,1,19053
16,,19053
99,1,19055
39,,19055
617,1,19057
191,,19057
297,1,19059
78,,19059
1900,1,19061
539,,19061
70,1,19063
17,,19063
41,,19065
109,1,19065
278,1,19067
113,,19067
64,1,19069
15,,19069
8,,19071
29,1,19071
82,1,19073
23,,19073
95,1,19075
7,,19075
24,,19077
107,1,19077
92,1,19079
34,,19079
228,1,19081
51,,19081
88,1,19083
33,,19083
40,,19085
82,1,19085
218,,19087
191,1,19087
14,,19089
73,1,19089
10,,19091
23,1,19091
18,1,19093
2,,19093
238,1,19095
70,,19095
159,1,19097
39,,19097
439,1,19099
109,,19099
492,1,19101
101,,19101
6024,1,19103
1162,,19103
123,1,19105
28,,19105
22,,19107
38,1,19107
27,,19109
107,1,19109
151,1,19111
30,,19111
5506,1,19113
1435,,19113
61,1,19115
23,,19115
47,1,19117
39,,19117
50,1,19119
20,,19119
64,1,19121
20,,19121
329,1,19123
80,,19123
188,,19125
547,1,19125
173,,19127
507,1,19127
97,1,19129
56,,19129
214,1,19131
48,,19131
32,1,19133
18,,19133
62,1,19135
26,,19135
82,1,19137
18,,19137
157,,19139
630,1,19139
150,1,19141
37,,19141
93,1,19143
20,,19143
133,1,19145
38,,19145
77,1,19147
11,,19147
194,1,19149
73,,19149
18,1,19151
11,,19151
13990,1,19153
4109,,19153
978,1,19155
395,,19155
59,,19157
342,1,19157
8,1,19159
57,1,19161
27,,19161
3916,1,19163
1021,,19163
64,1,19165
26,,19165
834,1,19167
296,,19167
2388,1,19169
565,,19169
111,1,19171
46,,19171
8,1,19173
2,,19173
189,1,19175
67,,19175
87,1,19177
20,,19177
149,,19179
350,1,19179
330,1,19181
67,,19181
317,1,19183
57,,19183
20,1,19185
13,,19185
173,,19187
734,1,19187
70,1,19189
10,,19189
420,1,19191
63,,19191
769,,19193
2106,1,19193
4,,19195
20,1,19195
33,1,19197
11,,19197
38,1,20001
31,,20001
28,1,20003
14,,20003
165,1,20005
54,,20005
26,1,20007
19,,20007
218,1,20009
92,,20009
49,1,20011
28,,20011
83,1,20013
42,,20013
124,,20015
353,1,20015
2,1,20019
54,1,20021
42,,20021
1,1,20025
26,1,20027
21,,20027
42,1,20029
12,,20029
12,,20031
23,1,20031
182,1,20035
64,,20035
365,1,20037
129,,20037
71,1,20041
30,,20041
2,,20043
3900,1,20045
1777,,20045
554,1,20051
227,,20051
20,1,20053
12,,20053
97,,20055
148,1,20055
101,,20057
284,1,20057
46,,20059
116,1,20059
192,1,20061
68,,20061
29,1,20067
18,,20067
13,1,20069
5,,20069
1,1,20075
1,,20077
291,1,20079
77,,20079
61,1,20085
24,,20085
13,1,20087
4,,20087
8632,1,20091
2243,,20091
9,1,20095
1,,20095
47,1,20099
29,,20099
566,1,20103
200,,20103
56,1,20107
35,,20107
35,1,20109
16,,20109
171,,20111
497,1,20111
217,1,20113
66,,20113
43,1,20115
16,,20115
37,1,20117
23,,20117
56,,20121
119,1,20121
33,1,20123
24,,20123
252,1,20125
127,,20125
10,,20127
25,1,20127
8,1,20129
2,,20129
19,1,20131
11,,20131
80,1,20133
27,,20133
24,1,20135
26,,20135
16,1,20137
11,,20137
21,1,20139
30,,20139
4,1,20143
3,,20143
5,1,20145
5,,20145
24,1,20147
20,,20147
128,1,20149
57,,20149
72,1,20151
28,,20151
380,1,20155
131,,20155
12,1,20157
8,,20157
25,1,20159
9,,20159
1488,1,20161
502,,20161
51,1,20167
24,,20167
426,1,20169
125,,20169
16,1,20171
17,,20171
4962,1,20173
1613,,20173
102,1,20175
48,,20175
1793,1,20177
505,,20177
6,,20181
25,1,20181
1,1,20183
2,,20183
66,1,20189
26,,20189
46,1,20191
31,,20191
43,1,20193
18,,20193
6,1,20195
3,,20195
